Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776013154,40,,Aggregated,115.600000,0.000000,42,81,140,160,200,230,300,430,1100,1500,1500,7707,0,42,86.95593249400393,11.51329101412557,1507.1359580033459,11456.594524458285
1776013155,50,,Aggregated,111.100000,0.000000,43,84,140,160,200,240,340,660,1300,1800,1800,7758,0,43,91.14203417185222,11.51329101412557,1786.832791985944,11460.335395720547
1776013156,50,,Aggregated,106.000000,0.000000,43,86,140,160,200,250,450,880,1600,2000,2000,7820,0,43,97.2164860959543,11.51329101412557,2027.1502079849597,11467.226982097187
1776013157,50,,Aggregated,96.800000,0.000000,44,89,150,170,210,270,590,930,1800,2300,2300,7928,0,44,102.96484970261197,11.51329101412557,2308.3619590033777,11459.27812815338
1776013158,50,,Aggregated,88.800000,0.000000,44,93,150,170,210,300,700,990,1800,2300,2300,8015,0,44,108.05621309871411,11.51329101412557,2308.3619590033777,11483.736369307548
1776013159,50,,Aggregated,88.900000,0.000000,45,98,150,170,220,340,770,1000,1800,2300,2300,8138,0,45,113.43882487245018,11.51329101412557,2308.3619590033777,11456.372327353158
1776013160,50,,Aggregated,85.300000,0.000000,46,100,150,170,230,400,780,1000,1800,2300,2300,8242,0,46,117.46508577712393,11.51329101412557,2308.3619590033777,11474.634433389954
1776013161,50,,Aggregated,84.400000,0.000000,47,110,160,180,240,460,790,1000,1800,2300,2300,8352,0,47,122.0174869310237,11.51329101412557,2308.3619590033777,11512.598180076628
1776013162,50,,Aggregated,84.100000,0.000000,48,110,160,180,260,490,840,1000,1800,2300,2300,8480,0,48,126.48635767228662,11.51329101412557,2308.3619590033777,11494.634669811321
1776013163,50,,Aggregated,81.800000,0.000000,49,120,160,180,280,510,860,1000,1800,2300,2300,8594,0,49,130.1720614697421,11.51329101412557,2308.3619590033777,11504.43739818478
1776013164,50,,Aggregated,86.400000,0.000000,50,120,170,190,290,550,880,1000,1800,2300,2300,8719,0,50,134.31230292832095,11.51329101412557,2308.3619590033777,11493.150017203809
1776013165,50,,Aggregated,94.100000,0.000000,52,130,170,190,300,560,900,1100,1800,2300,2300,8858,0,52,137.64031362250006,11.51329101412557,2308.3619590033777,11492.832580717995
1776013166,50,,Aggregated,99.500000,0.000000,53,130,170,190,320,590,950,1100,1800,2300,2300,8979,0,53,141.33705113131018,11.51329101412557,2308.3619590033777,11486.979841853214
